Conceived,企画されている
□Stakeholders agree system is to be produced,スタークホルダーがシステムの開発に合意している
□Users identified,ユーザーが特定されている
□Funding stakeholders identified,資金を提供するステークホルダーが特定されている
□Opportunity clear,機会が明確である
Bounded,明確化されている
□Development stakeholders identified,開発のステークホルダーが特定されている
□System purpose agreed,システムの目的が合意されている
□System success clear,システムの成功が明確である
□Shared solution understanding exists,ソリューションの共通理解が存在する
□Requirement's format agreed,要求のフォーマットが合意されている
□Requirements management in place,要求管理が整っている
□Prioritization scheme clear,優先順位付けの仕組みが明確である
□Constraints identified & considered,制約が特定および検討されている
□Assumptions clear,想定が明確である
Coherent,論理的である
□Requirements shared,要求が共有されている
□Requirements' origin clear,要求の源が明確である
□Rationale clear,論理的根拠が明確である
□Conflicts addressed,衝突が解消されている
□Essential characteristics clear,必要不可欠な特徴が明確である
□Key usage scenarios explained,重要な利用シナリオが説明されている
□Priorities clear,優先順位が明確である
□Impact understood,影響が理解されている
□Team knows & agrees on what to deliver,提供するものをチームが理解・合意している
Acceptable,受け入れ可能である
□Acceptable solution described,受け入れ可能なソリューションが記述されている
□Change under control,変更が管理されている
□Value to be realized clear,実現される価値が明確である
□Clear how opportunity addressed,機会の対応が明確である
□Testable,テスト可能である
Addressed,対応済みである
□Enough addressed to be acceptable,受け入れ可能になるまで十分に対応されている
□Requirements and system match,要求とシステムが合致している
□Value realized clear,実現された価値が明確である
□System worth making operational,運用に値するシステムである
Fulfilled,満たされている
□Stakeholders accept requirements,ステークホルダーが要求を受け入れている
□No hindering requirements,邪魔になる要求がない
□Requirements fully satisfied,要求が完全に満たされている
